budget,comparison_report,data_signature_match,left_eval_count,left_policy,pack_name,pair_label,parity_row_key,parity_status,reason,right_eval_count,right_policy,seed,source_summary_relpath,workspace_relpath
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/prism_vs_contenders.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,prism vs contenders,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|prism vs contenders|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/prism_vs_stratograph.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,prism vs stratograph,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|prism vs stratograph|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/prism_vs_topograph.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,prism vs topograph,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|prism vs topograph|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/stratograph_vs_contenders.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,stratograph vs contenders,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|stratograph vs contenders|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/topograph_vs_contenders.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,topograph vs contenders,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|topograph vs contenders|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
8,/Users/timokruth/Projekte/Evo Neural Nets/EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/topograph_vs_stratograph.md,true,8,prototype_equal_budget,tiny_fair_matrix_pack_eval8,topograph vs stratograph,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|topograph vs stratograph|8|42,fair,,8,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/prism_vs_contenders.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,prism vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|prism vs contenders|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/prism_vs_stratograph.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,prism vs stratograph,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|prism vs stratograph|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/prism_vs_topograph.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,prism vs topograph,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|prism vs topograph|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
76,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/stratograph_vs_contenders.md,true,76,prototype_equal_budget,working_33_plus_5_lm_compare_eval76,stratograph vs contenders,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|stratograph vs contenders|76|42,fair,,76,prototype_equal_budget,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
