benchmark_count,budget,contenders_evaluation_count,contenders_wins,note,pack_name,prism_evaluation_count,prism_wins,seed,source_summary_relpath,stratograph_evaluation_count,stratograph_wins,summary_kind,summary_row_key,ties,topograph_evaluation_count,topograph_wins,workspace_relpath
4,8,8,3,,tiny_fair_matrix_pack_eval8,8,1,42,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json,8,0,fair,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix/reports/tiny_fair_matrix_pack_eval8_seed42/four_way_summary.json|fair|8|42,0,8,0,EvoNN-Compare/manual_compare_runs/20260419_tiny_fair_matrix_smoke_fix
38,76,76,29,,working_33_plus_5_lm_compare_eval76,76,2,42,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json,76,2,fair,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval76_seed42/four_way_summary.json|fair|76|42,4,76,1,EvoNN-Compare/manual_compare_runs/20260418_budget76_seed42_fair_matrix_rerun
38,152,152,34,,working_33_plus_5_lm_compare_eval152,152,1,42,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json,152,0,fair,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke/reports/working_33_plus_5_lm_compare_eval152_seed42/four_way_summary.json|fair|152|42,2,152,1,EvoNN-Compare/manual_compare_runs/20260418_budget152_seed42_fair_matrix_smoke
38,304,304,28,,working_33_plus_5_lm_compare_eval304,304,2,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,304,2,fair,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|fair|304|42,4,304,2,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
38,304,304,31,prism/topograph: incomparable (budget mismatch exceeds 25%) | topograph/contenders: incomparable (budget mismatch exceeds 25%) | topograph/stratograph: incomparable (budget mismatch exceeds 25%),working_33_plus_5_lm_compare_eval304,304,1,42,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json,304,1,reference,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed42/four_way_summary.json|reference|304|42,3,190,2,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
38,304,304,28,,working_33_plus_5_lm_compare_eval304,304,1,43,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed43/four_way_summary.json,304,2,fair,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed43/four_way_summary.json|fair|304|43,4,304,3,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
38,304,304,25,prism/topograph: incomparable (budget mismatch exceeds 25%) | topograph/contenders: incomparable (budget mismatch exceeds 25%) | topograph/stratograph: incomparable (budget mismatch exceeds 25%),working_33_plus_5_lm_compare_eval304,304,3,43,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed43/four_way_summary.json,304,0,reference,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed43/four_way_summary.json|reference|304|43,5,190,5,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
38,304,304,29,,working_33_plus_5_lm_compare_eval304,304,3,44,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed44/four_way_summary.json,304,3,fair,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval304_seed44/four_way_summary.json|fair|304|44,2,304,1,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
38,304,304,29,prism/topograph: incomparable (budget mismatch exceeds 25%) | topograph/contenders: incomparable (budget mismatch exceeds 25%) | topograph/stratograph: incomparable (budget mismatch exceeds 25%),working_33_plus_5_lm_compare_eval304,304,3,44,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed44/four_way_summary.json,304,0,reference,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2/reports/working_33_plus_5_lm_compare_eval304_seed44/four_way_summary.json|reference|304|44,3,190,3,EvoNN-Compare/manual_compare_runs/fair_matrix_304_608_912_seed42_44_rerun2
38,608,608,29,,working_33_plus_5_lm_compare_eval608,608,2,42,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval608_seed42/four_way_summary.json,608,2,fair,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun/reports/working_33_plus_5_lm_compare_eval608_seed42/four_way_summary.json|fair|608|42,3,608,2,EvoNN-Compare/manual_compare_runs/20260418_budget369_seed4234_fair_matrix_rerun
